Herd_Year,Parity_conception_interval,Calving_season,No_calvings,Tournament_within_WC,Herd_Year(fighting_ability),Age_class,Weight_category_WC,Body_weight,Animal,Fighting_ability,Fat,Protein,Milk
2428,6,3,4,0,0,0,0,0,85,0,15.8,12.9,38.98
976,5,3,1,0,0,0,0,0,86,0,13.2,14.4,40.19
977,7,4,4,0,0,0,0,0,86,0,23,21.8,66.47
978,4,5,5,0,0,0,0,0,86,0,23.4,18.5,53.04
2076,7,4,3,0,0,0,0,0,87,0,15.4,16.6,49.11
2077,4,5,4,0,0,0,0,0,87,0,16.7,13.9,43.27
3150,6,2,1,0,0,0,0,0,88,0,7.9,8.3,21.9
3151,7,2,4,0,0,0,0,0,88,0,9.7,9,24.79
3152,4,3,5,0,0,0,0,0,88,0,7.4,7.5,19.78
385,6,2,1,0,0,0,0,0,89,0,8.6,8.6,25.38
386,5,3,2,0,0,0,0,0,89,0,10.4,9.5,28.96
387,4,2,3,0,0,0,0,0,89,0,10.1,8.2,26.06
2043,6,3,2,0,0,0,0,0,90,0,6.8,6.3,18.72
2044,4,3,3,0,0,0,0,0,90,0,6.4,5.9,18.26
2045,5,2,4,0,0,0,0,0,90,0,6.5,6.4,19.51
2046,5,3,5,0,0,0,0,0,90,0,6.7,6.8,20.04
1366,5,2,4,0,0,0,0,0,91,0,13.5,13.6,42.86
1367,4,2,5,0,0,0,0,0,91,0,12.8,13.4,42.27
2099,5,2,1,0,0,0,0,0,92,0,6.6,6.2,17.59
2100,9,2,2,0,0,0,0,0,92,0,9.1,8.5,25.5
2102,4,4,3,0,0,0,0,0,92,0,12.5,12.4,34.72
2102,4,3,4,0,0,0,0,0,92,0,8.6,9.5,27.67
1193,10,3,5,0,0,0,0,0,92,0,8.4,9.2,28.11
2368,5,3,2,0,0,0,0,0,93,0,12.2,9.3,27.91
2370,6,4,3,0,0,0,0,0,93,0,12.5,11.6,34.55
2371,3,4,4,0,0,0,0,0,93,0,13.6,11.5,35.95
2371,5,3,5,0,0,0,0,0,93,0,15.5,13.8,40.68
4021,2,4,4,0,0,0,0,0,94,0,13,10.3,32.53
2164,8,2,5,0,0,0,0,0,94,0,16.6,15,47.66
1279,7,2,1,0,0,0,0,0,95,0,7.9,7.5,21.19
1280,4,3,2,0,0,0,0,0,95,0,9.7,10.1,30.19
1281,5,2,3,0,0,0,0,0,95,0,11.7,10.7,31.03
1282,5,2,4,0,0,0,0,0,95,0,10.7,9.2,27.03
1283,6,2,5,0,0,0,0,0,95,0,7.7,7.5,23.91
534,10,3,3,0,0,0,0,0,96,0,7.7,7.3,21.06
535,8,5,4,0,0,0,0,0,96,0,10.6,12.5,34.12
55,3,5,1,0,0,0,0,0,97,0,10.3,10.6,31.5
56,4,4,2,0,0,0,0,0,97,0,9.3,8.9,26.4
57,4,4,3,0,0,0,0,0,97,0,10.9,11.3,33.45
