Herd-Year-Classifier,Age_class_at_first_calving,Class_of_days_in_milk,Animal,Front_muscularity,Udder,Thorax_depth,Thinness,Fore_udder_attach,Rear_udder_attach,Udder_width
342,5,4,911,3,3,3,3,3,2,3
342,5,4,912,3,3,3,3,3,2,2
342,5,4,18828,3,3,4,3,3,3,3
342,5,4,18829,3,3,4,3,3,3,3
342,5,4,18830,3,3,4,3,3,2,3
342,5,4,18831,4,3,4,3,3,3,3
342,5,4,18832,4,3,4,3,3,2,3
41,4,4,537,3,3,4,3,3,3,2
41,6,3,538,2,3,3,3,2,3,2
43,4,5,1032,4,3,5,3,3,3,2
43,5,4,1033,3,3,3,4,2,3,3
43,4,4,1034,2,3,3,3,2,3,3
43,4,4,1035,2,4,3,3,4,3,4
43,1,2,2245,3,4,4,3,4,3,4
43,1,2,2246,4,2,3,4,2,3,1
55,6,4,557,5,3,4,4,3,3,2
55,6,4,558,3,3,3,3,4,3,4
227,4,5,161,5,3,3,3,3,2,3
227,3,5,162,4,3,4,3,3,3,3
227,2,5,881,4,3,3,3,3,3,3
227,9,3,18789,3,3,3,3,3,3,3
228,5,4,180,3,3,2,3,3,3,2
228,4,4,181,3,2,3,2,3,2,2
228,6,1,884,4,3,3,3,3,3,3
229,5,4,167,3,3,2,3,3,3,3
229,6,3,168,4,2,4,3,2,2,3
229,5,4,169,2,3,3,3,3,3,3
229,6,3,170,3,3,3,3,2,3,3
229,7,2,171,3,3,3,3,4,3,3
229,5,4,172,3,3,3,3,2,3,3
229,6,3,173,3,3,3,3,3,2,3
229,7,2,174,3,3,3,2,1,3,2
229,3,5,874,3,3,3,3,3,3,3
229,4,3,875,5,3,4,3,3,3,2
229,2,4,889,3,3,3,3,3,3,4
230,4,4,151,4,3,3,3,3,3,2
230,3,4,886,4,3,4,3,3,3,2
382,3,5,35,4,2,3,3,3,3,3
382,4,5,36,3,2,3,4,3,2,2
382,4,5,37,3,3,3,3,3,2,3
382,7,2,868,3,3,4,3,3,2,3
228,5,4,182,4,3,3,3,2,3,3
310,5,4,641,3,3,3,3,3,3,3
310,5,4,642,4,3,4,3,3,3,3
310,2,4,643,3,3,4,3,3,3,3
3,6,4,209,3,4,4,3,4,3,3
3,3,4,1198,3,3,3,3,3,3,3
3,1,1,1820,3,3,3,3,3,3,3
3,5,4,18871,3,3,3,3,3,3,3
3,9,4,19002,3,3,4,3,3,3,2
4,6,3,939,3,3,3,3,3,3,2
4,5,3,940,4,3,4,3,3,3,3
5,7,2,919,3,3,4,3,3,3,2
5,3,4,920,2,3,3,3,3,3,2
6,5,4,950,3,3,4,3,3,3,3
6,5,4,952,3,3,3,3,3,3,2
6,5,4,953,3,3,4,3,3,3,3
6,3,5,954,4,3,3,3,3,3,2
6,4,5,955,3,2,3,2,3,2,2
6,5,4,956,3,3,3,3,3,3,3
6,3,4,958,5,3,4,4,3,3,2
6,3,4,959,3,2,4,2,3,2,2
7,4,2,1195,3,3,3,3,3,3,3
7,2,4,1196,3,2,3,4,2,3,2
168,2,5,18916,3,3,3,3,3,3,3
168,2,4,18917,2,3,3,3,3,3,3
56,6,4,92,2,2,4,3,3,3,2
56,5,5,18833,3,2,3,3,3,3,2
56,1,4,18834,4,3,3,3,3,3,3
56,5,4,18835,3,2,3,3,3,3,2
57,4,4,1097,3,3,3,3,4,3,3
57,3,4,1102,3,3,3,3,3,3,3
57,9,4,18801,4,3,4,3,3,3,3
60,3,5,136,4,3,4,3,3,3,2
105,1,2,154,3,3,3,3,3,3,3
105,4,5,155,3,3,3,3,3,2,2
105,7,2,156,5,3,4,2,3,2,2
105,5,4,157,3,3,4,4,2,3,3
105,3,4,876,3,2,2,2,3,3,2
137,5,4,18852,3,3,4,3,3,3,3
137,5,4,18853,2,3,3,3,3,3,3
138,5,4,153,3,4,3,3,4,3,3
138,9,5,19039,2,3,3,3,2,3,3
281,6,3,290,2,3,3,3,2,3,3
281,5,3,301,3,3,3,3,3,3,3
282,7,2,296,2,3,3,3,2,3,3
282,2,2,1234,2,3,3,3,3,3,3
283,5,5,297,3,3,2,3,3,3,3
283,6,3,298,3,3,3,3,3,3,2
283,2,4,769,2,3,2,3,3,2,2
283,5,2,1005,3,3,2,3,3,3,2
283,4,4,1006,4,3,3,3,3,3,3
8,6,3,324,3,3,3,3,3,3,2
8,4,4,559,3,3,3,3,3,3,3
8,4,3,941,3,3,3,3,3,3,3
8,4,4,942,2,3,3,3,3,3,2
8,4,4,943,2,3,2,3,3,2,2
8,3,4,944,4,3,3,3,3,3,2
8,4,5,945,3,3,4,4,4,3,3
8,5,4,946,4,3,3,3,3,3,2
8,5,4,947,3,3,3,3,3,3,2
8,5,4,948,2,3,3,3,3,3,2
8,5,4,949,3,3,3,3,3,3,2
8,8,4,18826,3,3,4,3,3,4,3
10,5,4,380,3,3,3,3,3,3,3
10,5,4,381,3,3,3,3,3,3,2
10,4,4,382,3,3,2,3,3,3,2
27,7,2,449,2,3,4,3,3,4,3
27,5,4,918,3,3,3,2,3,3,2
27,6,4,18996,3,3,4,3,3,3,3
70,4,5,871,2,3,3,3,2,3,2
70,5,4,1199,3,2,3,2,2,2,3
70,9,3,18864,3,2,2,1,3,1,1
70,9,4,18865,3,2,3,3,2,2,2
71,5,5,1146,2,3,2,2,3,2,3
